,Week_ending,Uid code,Brand new,Size short,Diet dummy,Container,quantity,amount,ND,Sale,PoS
234,201505,14,Syeda,350ml,0,PET,7589,757833.0,0.410526316,99.85940176571353,0.0014495499690760126
235,201505,15,Syeda,350ml,1,PET,123986,13577422.0,0.905263158,109.50770248253835,0.023682158712064635
236,201505,16,Orangina,350ml,0,Can,2054,92792.0,0.042105263,45.17624148003895,0.00039232779502992887
237,201505,17,Ito,350ml,0,Can,82,6898.0,0.063157895,84.1219512195122,1.5662550726608648e-05
238,201505,19,Calpis,350ml,0,Can,1484,76682.0,0.073684211,51.67250673854448,0.00028345396680838094
239,201505,20,Cc,350ml,0,Can,2871,155624.0,0.073684211,54.205503308951585,0.0005483802821474808
240,201505,22,Pepsi,350ml,0,Can,38,2674.0,0.021052632,70.36842105263158,7.2582552147698615e-06
241,201505,23,Pepsi,350ml,1,Can,8,528.0,0.010526316,66.0,1.528053729425234e-06
242,201505,24,Sun L.,350ml,1,Can,104,11532.0,0.010526316,110.88461538461539,1.9864698482528044e-05
243,201505,25,Coca,350ml,0,Can,14767,976035.0,0.294736842,66.0956863276224,0.002820596177802804
244,201505,26,Fanta,350ml,0,Can,3841,236828.0,0.210526316,61.65790158812809,0.0007336567968402905
245,201505,28,Coca,350ml,1,Can,1177,75531.0,0.136842105,64.17247238742566,0.00022481490494168755
246,201505,29,Mets,350ml,0,Can,3150,148718.0,0.052631579,47.21206349206349,0.0006016711559611859
247,201505,32,Other,450ml,0,PET,21387,1908865.0,0.284210526,89.2535184925422,0.004085060638902185
248,201505,34,Other,450ml,0,Glass,16,3084.0,0.021052632,192.75,3.056107458850468e-06
249,201505,36,Orangina,450ml,0,PET,487870,39994353.0,1.0,81.97747965646586,0.09318644662183612
250,201505,44,Other,500ml,0,Can,1112,92794.0,0.010526316,83.4478417266187,0.00021239946839010754
251,201505,45,Other,500ml,0,PET,11258,939180.0,0.189473684,83.42334340024871,0.0021503536107336605
252,201505,46,Other,500ml,1,PET,46979,3391630.0,0.284210526,72.19459758615551,0.008973304519333508
253,201505,47,Other,500ml,0,Bottle_Can,436,42388.0,0.042105263,97.22018348623853,8.327892825367526e-05
254,201505,48,Other,500ml,1,Bottle_Can,654,54470.0,0.010526316,83.2874617737003,0.0001249183923805129
255,201505,49,Syeda,500ml,0,PET,934418,76451863.0,1.0,81.8176265868166,0.17848011371775854
256,201505,50,Syeda,500ml,1,PET,133385,10905935.0,0.736842105,81.7628294036061,0.025477430837423105
257,201505,51,Syeda,500ml,0,Can,2058,121922.0,0.084210526,59.242954324586975,0.00039309182189464146
258,201505,53,Ito,500ml,0,PET,31562,3252455.0,0.642105263,103.04971167860084,0.006028553976014905
259,201505,54,Ito,500ml,0,Can,28,1832.0,0.010526316,65.42857142857143,5.348188052988319e-06
260,201505,56,Calpis,500ml,0,PET,103326,8843157.0,0.757894737,85.58501248475699,0.019735959955823966
261,201505,57,Calpis,500ml,0,Can,186,14848.0,0.031578947,79.82795698924731,3.552724920913669e-05
